name,brand,years,category,engine,hp,torque,price_avg,tier,drivetrain,trans,zero_to_sixty,top_speed,priority,notes,status,added_date
"BMW M4 CSL",BMW,2022-2023,Front-Engine,3.0L Twin-Turbo I6,543,479,140000,premium,RWD,"8-speed Auto",3.6,191,1,"Lightweight track special. Carbon everything.",,
"BMW M8 Competition",BMW,2019-2024,Front-Engine,4.4L Twin-Turbo V8,617,553,140000,premium,AWD,"8-speed Auto",3.0,190,2,"Grand touring flagship with M performance.",,
"BMW i8",BMW,2014-2020,Mid-Engine,1.5L Turbo I3 + Electric,369,420,70000,upper-mid,AWD,"6-speed Auto",4.4,155,2,"Hybrid sports car. Revolutionary design and tech.",,
"BMW Z8",BMW,2000-2003,Front-Engine,5.0L V8,394,369,250000,premium,RWD,"6-speed Manual",4.7,155,2,"Classic roadster icon. Manual only.",,
"BMW M3 CSL E46",BMW,2003-2004,Front-Engine,3.2L I6,355,273,150000,premium,RWD,"6-speed SMG",4.9,174,2,"Lightweight legend. The original CSL.",,
"BMW M3 GTS E92",BMW,2010-2011,Front-Engine,4.4L V8,444,324,175000,premium,RWD,"7-speed DCT",4.4,190,2,"Track homologation special. Roll cage standard.",,
"Mercedes-AMG SLS",Mercedes-AMG,2010-2015,Front-Engine,6.2L V8,563-622,479,175000,premium,RWD,"7-speed DCT",3.7,197,1,"Gullwing icon. Hand-built AMG V8.",,
"Mercedes-AMG SLS Black Series",Mercedes-AMG,2013-2015,Front-Engine,6.2L V8,622,468,400000,premium,RWD,"7-speed DCT",3.5,196,2,"Ultimate SLS with massive aero and track focus.",,
"Mercedes-AMG GT R",Mercedes-AMG,2017-2021,Front-Engine,4.0L Twin-Turbo V8,577,516,175000,premium,RWD,"7-speed DCT",3.5,198,1,"Track-focused AMG GT. Green Hell special.",,
"Mercedes-AMG GT Black Series",Mercedes-AMG,2020-2022,Front-Engine,4.0L Twin-Turbo V8,720,590,400000,premium,RWD,"7-speed DCT",3.1,202,1,"Ultimate AMG GT. Nürburgring production car record.",,
"Mercedes-AMG GT 63 S 4-Door",Mercedes-AMG,2018-2024,Front-Engine,4.0L Twin-Turbo V8,630,664,185000,premium,AWD,"9-speed Auto",3.1,196,1,"Four-door supercar. Family friendly performance.",,
"Mercedes-AMG C63 S Coupe W205",Mercedes-AMG,2016-2021,Front-Engine,4.0L Twin-Turbo V8,503,516,75000,upper-mid,RWD,"9-speed Auto",3.9,180,2,"V8 coupe variant. Last of the V8 C63.",,
"Mercedes-AMG C63 S E Performance W206",Mercedes-AMG,2023-2024,Front-Engine,2.0L Turbo I4 + Electric,671,752,95000,premium,AWD,"9-speed Auto",3.4,174,2,"New hybrid C63. Most powerful C-Class ever.",,
"Mercedes-AMG CLK63 Black Series",Mercedes-AMG,2007-2009,Front-Engine,6.2L V8,500,465,125000,premium,RWD,"7-speed Auto",4.2,186,2,"Widebody Black Series. Rare collector.",,
"Mercedes-AMG ONE",Mercedes-AMG,2022-2024,Mid-Engine,1.6L Turbo V6 + Electric,1049,435,3000000,premium,AWD,"7-speed Auto",2.9,219,2,"F1 engine for the road. Ultimate hypercar.",,
"Nissan Skyline GT-R R34",Nissan,1999-2002,Front-Engine,2.6L Twin-Turbo I6,276-330,289,150000,premium,AWD,"6-speed Manual",4.8,165,1,"JDM legend. Most sought-after Skyline.",,
"Nissan Skyline GT-R R33",Nissan,1995-1998,Front-Engine,2.6L Twin-Turbo I6,276,271,75000,upper-mid,AWD,"5-speed Manual",5.4,155,2,"Middle GT-R generation. Underrated classic.",,
"Nissan Skyline GT-R R32",Nissan,1989-1994,Front-Engine,2.6L Twin-Turbo I6,276,260,85000,upper-mid,AWD,"5-speed Manual",5.6,156,1,"Original Godzilla. Started the legend.",,
"Nissan GT-R NISMO",Nissan,2014-2024,Front-Engine,3.8L Twin-Turbo V6,600,481,220000,premium,AWD,"6-speed DCT",2.7,196,1,"Track-focused GT-R. Hand-built engine.",,
"Honda NSX NA1",Honda,1990-1997,Mid-Engine,3.0L V6,270,210,100000,premium,RWD,"5-speed Manual",5.7,168,1,"Original everyday supercar. Ayrton Senna developed.",,
"Honda NSX NA2",Honda,1997-2005,Mid-Engine,3.2L V6,290,224,85000,premium,RWD,"6-speed Manual",5.5,168,1,"Updated NSX with 3.2L and fixed headlights.",,
"Acura NSX NC1",Acura,2017-2022,Mid-Engine,3.5L Twin-Turbo V6 + Electric,573,476,125000,premium,AWD,"9-speed DCT",2.9,191,1,"Modern hybrid NSX. Underappreciated masterpiece.",,
"Acura NSX Type S",Acura,2022,Mid-Engine,3.5L Twin-Turbo V6 + Electric,600,492,175000,premium,AWD,"9-speed DCT",2.9,191,1,"Final NSX edition. Limited to 350 units.",,
"Honda S2000 CR",Honda,2008-2009,Front-Engine,2.2L I4,237,162,75000,upper-mid,RWD,"6-speed Manual",5.7,150,2,"Club Racer edition. Hardtop and weight reduction.",,
"Toyota LFA",Toyota,2010-2012,Front-Engine,4.8L V10,552,354,600000,premium,RWD,"6-speed Auto",3.7,202,1,"Legendary V10 supercar. Hand-built Yamaha engine.",,
"Lexus LFA",Lexus,2010-2012,Front-Engine,4.8L V10,552,354,600000,premium,RWD,"6-speed Auto",3.7,202,1,"Same as Toyota LFA for Lexus branding.",,
"Toyota MR2 Turbo SW20",Toyota,1991-1999,Mid-Engine,2.0L Turbo I4,200-245,200,25000,mid,RWD,"5-speed Manual",6.1,143,2,"Mid-engine turbo classic. Snap oversteer reputation.",,
"Toyota MR2 Spyder ZZW30",Toyota,1999-2007,Mid-Engine,1.8L I4,138,125,15000,budget,RWD,"5-speed Manual/6-speed SMT",7.0,130,2,"Lightweight roadster. Pure driving experience.",,
"Toyota GR Corolla",Toyota,2023-2024,Front-Engine,1.6L Turbo I3,300,273,50000,mid,AWD,"6-speed Manual",4.99,143,1,"AWD hot hatch. Rally-bred performance.",,
"Ford GT (2005)",Ford,2005-2006,Mid-Engine,5.4L Supercharged V8,550,500,450000,premium,RWD,"6-speed Manual",3.3,205,1,"Retro supercar tribute to GT40. Manual only.",,
"Ford GT (2017)",Ford,2017-2022,Mid-Engine,3.5L Twin-Turbo V6,647,550,700000,premium,RWD,"7-speed DCT",2.9,216,1,"Modern Le Mans winner. Carbon fiber construction.",,
"Ford Mustang Mach 1 S550",Ford,2021-2023,Front-Engine,5.0L V8,480,420,56000,mid,RWD,"6-speed Manual/10-speed Auto",4.2,168,2,"Track-focused Mustang. Tremec manual option.",,
"Ford Mustang Dark Horse",Ford,2024,Front-Engine,5.0L V8,500,418,60000,mid,RWD,"6-speed Manual/10-speed Auto",4.0,170,1,"New S650 flagship. Most powerful naturally aspirated Mustang.",,
"Audi R8 V10 Performance",Audi,2019-2024,Mid-Engine,5.2L V10,602-620,413,200000,premium,AWD,"7-speed DCT",3.1,205,1,"Final R8 generation. Plus model with 620 HP.",,
"Audi RS7 Sportback",Audi,2020-2024,Front-Engine,4.0L Twin-Turbo V8,591,590,125000,premium,AWD,"8-speed Auto",3.5,190,1,"Performance four-door coupe. Practical supercar.",complete,2024-12-21
"Audi RS6 Avant",Audi,2020-2024,Front-Engine,4.0L Twin-Turbo V8,591,590,125000,premium,AWD,"8-speed Auto",3.5,190,1,"Performance super wagon. Practical supercar.",,
"Audi RS e-tron GT",Audi,2021-2024,Front-Engine,Electric,637,612,155000,premium,AWD,"2-speed Auto",3.1,155,1,"Electric grand tourer. Taycan platform.",,
"Audi R8 GT",Audi,2011-2012,Mid-Engine,5.2L V10,552,398,300000,premium,RWD,"6-speed R-Tronic",3.6,199,2,"Limited lightweight special. RWD only.",,
"Audi RS4 Avant B9",Audi,2018-2024,Front-Engine,2.9L Twin-Turbo V6,444,442,80000,upper-mid,AWD,"8-speed Auto",4.1,174,2,"Performance wagon. Practical and fast.",,
"Chevrolet Corvette C8 Z06",Chevrolet,2023-2024,Mid-Engine,5.5L Flat-Plane V8,670,460,130000,premium,RWD,"8-speed DCT",2.6,195,1,"Track-focused C8. Highest-revving V8 in production.",,
"Chevrolet Corvette C8 E-Ray",Chevrolet,2024,Mid-Engine,6.2L V8 + Electric,655,470,120000,premium,AWD,"8-speed DCT",2.5,183,1,"Hybrid AWD Corvette. First ever AWD Vette.",,
"Chevrolet Corvette C7 ZR1",Chevrolet,2019,Front-Engine,6.2L Supercharged V8,755,715,135000,premium,RWD,"7-speed Manual/8-speed Auto",2.85,212,1,"Ultimate C7. Massive wing and supercharged power.",,
"Chevrolet Corvette C6 ZR1",Chevrolet,2009-2013,Front-Engine,6.2L Supercharged V8,638,604,85000,upper-mid,RWD,"6-speed Manual",3.4,205,1,"Blue Devil supercharged C6. Carbon fiber roof.",,
"Lexus IS F",Lexus,2008-2014,Front-Engine,5.0L V8,416,371,35000,budget,RWD,"8-speed Auto",4.6,170,2,"V8 sports sedan. M3/C63 competitor.",,
"Lexus GS F",Lexus,2016-2020,Front-Engine,5.0L V8,467,389,55000,mid,RWD,"8-speed Auto",4.5,168,2,"V8 sport sedan. Underrated performance.",,
"Lexus LC 500h",Lexus,2018-2024,Front-Engine,3.5L V6 Hybrid,354,348,100000,premium,RWD,"CVT",4.7,168,3,"Hybrid LC. Unique powertrain character.",,
"Dodge Challenger SRT Demon",Dodge,2018,Front-Engine,6.2L Supercharged V8,808-840,770,110000,premium,RWD,"8-speed Auto",2.3,168,1,"Factory drag car. Street-legal quarter mile king.",,
"Dodge Challenger SRT Demon 170",Dodge,2023,Front-Engine,6.2L Supercharged V8,1025,945,175000,premium,RWD,"8-speed Auto",1.66,NA,1,"Final Challenger. Most powerful muscle car ever.",,
"Dodge Charger SRT Hellcat Redeye",Dodge,2021-2023,Front-Engine,6.2L Supercharged V8,797,707,90000,premium,RWD,"8-speed Auto",3.5,203,2,"High-output Hellcat sedan. Family supercar.",,
"Dodge Viper ACR",Dodge,2016-2017,Front-Engine,8.4L V10,645,600,175000,premium,RWD,"6-speed Manual",3.0,177,1,"Track record holder. Massive aero and grip.",,
"Maserati MC12",Maserati,2004-2005,Mid-Engine,6.0L V12,620,481,3000000,premium,RWD,"6-speed F1",3.8,205,2,"Enzo-based supercar. Only 50 produced.",,
"Maserati MC20",Maserati,2021-2024,Mid-Engine,3.0L Twin-Turbo V6,621,538,225000,premium,RWD,"8-speed DCT",2.9,202,1,"New mid-engine Maserati. Nettuno engine.",,
"Maserati GranTurismo (2024)",Maserati,2024,Front-Engine,3.0L Twin-Turbo V6/Electric,542-761,479,200000,premium,RWD/AWD,"8-speed Auto",3.5,199,2,"New generation GT. V6 and electric Folgore options.",,
"Maserati Quattroporte GTS",Maserati,2013-2023,Front-Engine,3.8L Twin-Turbo V8,523-580,524,85000,upper-mid,RWD,"8-speed Auto",4.7,193,3,"Sport sedan with Ferrari-derived V8.",,
"Koenigsegg CCX",Koenigsegg,2006-2010,Mid-Engine,4.7L Twin-Supercharged V8,806,678,1500000,premium,RWD,"6-speed Manual",3.2,250,3,"Early Koenigsegg hypercar. Twin supercharged.",,
"Koenigsegg Agera RS",Koenigsegg,2015-2018,Mid-Engine,5.0L Twin-Turbo V8,1160,944,3000000,premium,RWD,"7-speed Auto",2.8,278,3,"World speed record holder. 278 mph.",,
"Koenigsegg Jesko",Koenigsegg,2020-2024,Mid-Engine,5.0L Twin-Turbo V8,1280-1600,1106,3500000,premium,RWD,"9-speed Multi-Clutch",2.5,330,3,"Target 330 mph. Light Speed Transmission.",,
"Koenigsegg Regera",Koenigsegg,2016-2021,Mid-Engine,5.0L Twin-Turbo V8 + Electric,1479,1475,2500000,premium,RWD,"Direct Drive",2.8,255,3,"No gearbox. Direct drive hybrid.",,
"Pagani Zonda C12",Pagani,1999-2017,Mid-Engine,6.0L/7.3L V12,394-760,420,2000000,premium,RWD,"6-speed Manual",3.5,217,3,"Original Italian hypercar. Hand-built art.",,
"Pagani Huayra",Pagani,2012-2024,Mid-Engine,6.0L Twin-Turbo V12,720-830,738,3500000,premium,RWD,"7-speed Auto",3.0,238,3,"Active aero hypercar. Successor to Zonda.",,
"Bugatti Veyron 16.4",Bugatti,2005-2015,Mid-Engine,8.0L Quad-Turbo W16,987-1184,922,2000000,premium,AWD,"7-speed DCT",2.5,253,3,"Original modern hypercar. Quad-turbo W16.",,
"Bugatti Chiron",Bugatti,2016-2024,Mid-Engine,8.0L Quad-Turbo W16,1479-1578,1180,3500000,premium,AWD,"7-speed DCT",2.4,261,3,"Veyron successor. 300 mph capable.",,
"Alpine A110",Alpine,2017-2024,Mid-Engine,1.8L Turbo I4,249-300,236,70000,upper-mid,RWD,"7-speed DCT",4.5,155,2,"Lightweight French sports car. Lotus competitor.",,
"Alpine A110 S",Alpine,2019-2024,Mid-Engine,1.8L Turbo I4,288-300,236,80000,upper-mid,RWD,"7-speed DCT",4.2,164,2,"Performance Alpine variant. Stiffer suspension.",,
"TVR Tuscan",TVR,1999-2006,Front-Engine,3.6L/4.0L I6,350-400,310,60000,upper-mid,RWD,"5-speed Manual",3.8,185,3,"British exotic. Straight-six screamer.",,
"TVR Sagaris",TVR,2004-2006,Front-Engine,4.0L I6,406,349,85000,upper-mid,RWD,"5-speed Manual",3.7,185,3,"Track-focused TVR. Aggressive styling.",,
"Rimac Nevera",Rimac,2021-2024,Mid-Engine,Electric,1914,1740,2500000,premium,AWD,"1-speed Direct",1.85,258,2,"Fastest EV hypercar. Croatian engineering.",,
"De Tomaso Pantera",De Tomaso,1971-1993,Mid-Engine,Ford 5.8L V8,248-500,333,150000,premium,RWD,"5-speed Manual",5.5,159,3,"Italian-American classic. Ford V8 mid-engine.",,
"Caterham Seven 620R",Caterham,2013-2024,Front-Engine,2.0L Supercharged I4,310,219,85000,upper-mid,RWD,"6-speed Manual",2.79,155,3,"Lightweight track weapon. Pure driving.",,
"Morgan Plus Six",Morgan,2019-2024,Front-Engine,3.0L Turbo I6,335,369,95000,upper-mid,RWD,"8-speed Auto",4.2,166,3,"Classic British roadster. BMW power.",,
"Mazda RX-8",Mazda,2003-2012,Front-Engine,1.3L Rotary,232,159,18000,budget,RWD,"6-speed Manual",6.0,147,2,"Last rotary sports car. 4-door coupe.",,
"Alfa Romeo 8C Competizione",Alfa Romeo,2007-2010,Front-Engine,4.7L V8,450,354,350000,premium,RWD,"6-speed Auto",4.2,181,3,"Limited Italian exotic. Ferrari-derived V8.",,
"Alfa Romeo Giulia GTAm",Alfa Romeo,2020-2021,Front-Engine,2.9L Twin-Turbo V6,540,443,200000,premium,RWD,"8-speed Auto",3.6,192,2,"Track-focused Giulia. Carbon fiber and roll cage.",,
"Genesis G70",Genesis,2018-2024,Front-Engine,3.3L Twin-Turbo V6,365,376,50000,mid,RWD/AWD,"8-speed Auto",4.5,167,3,"Korean sports sedan. Strong value proposition.",,
"Kia Stinger GT",Kia,2018-2023,Front-Engine,3.3L Twin-Turbo V6,365-368,376,52000,mid,RWD/AWD,"8-speed Auto",4.7,167,3,"Korean gran turismo. Underrated performer.",,
